IMSC1 Text|ISO/IEC 23000-19 Annex A.4|stpp.ttml.im1t|im1t|https://www.w3.org/groups/wg/timed-text/ipr|
IMSC1 Image|ISO/IEC 23000-19 Annex A.4|stpp.ttml.im1i|im1i|https://www.w3.org/groups/wg/timed-text/ipr|
IMSC1.1 Text|ISO/IEC 23000-19 Annex L|stpp.ttml.im2t|im2t|https://www.w3.org/groups/wg/timed-text/ipr|
IMSC1.1 Image|ISO/IEC 23000-19 Annex L|stpp.ttml.im2i|im2i|https://www.w3.org/groups/wg/timed-text/ipr|
WebVTT|ISO/IEC 23000-19 Annex A.4|wvtt|cwvt|https://www.w3.org/groups/wg/timed-text/ipr|
CTA 608/708|ISO/IEC 23000-19 Annex A.4|n/a|ccea|https://www.w3.org/groups/wg/timed-text/ipr|
